t,S,I,R,D
33,0.999917836881261,0.000389589290868626,0.000391868091171772,0.000293884932745563
34,0.999908744606313,0.000432701736011983,0.000433853958083033,0.000384311065898045
35,0.999902313485008,0.000463195904528016,0.000461306255678858,0.000542556798914886
36,0.999894551786881,0.000499999211357711,0.000495756197759893,0.000678195998643608
37,0.999885126867728,0.000544688941079483,0.000538818625361186,0.000791228665084209
38,0.999874149608949,0.000596739332167194,0.000588340417102674,0.000949474398101051
39,0.999867053199233,0.000630388069840058,0.000619022396768595,0.00110772013111789
40,0.999860511196527,0.000661407999882229,0.000647551255054452,0.00124335933084661
41,0.999844876918872,0.000735540375067757,0.000714836298181474,0.00160506386345654
42,0.999828909997012,0.000811250034831701,0.000786427584068624,0.00185373572962586
43,0.999813386600759,0.000884856648491091,0.000858557150300791,0.00198937492935458
44,0.999796754390488,0.000963720877411865,0.000930148436187942,0.00237368599525263
45,0.999777461026573,0.00105520338295996,0.00100927564690532,0.00298406239403188
46,0.999763379088544,0.00112197509677955,0.00106471852244198,0.00352661919294676
47,0.999749518913318,0.00118769528754687,0.0011250059210838,0.00382050412569233
48,0.999717030662588,0.00134174341470544,0.00127303301596324,0.00422742172487849
49,0.999687425328306,0.00148212174218442,0.00140222029876712,0.00483779812365774
50,0.999659039689443,0.00161671669287588,0.00152548649777583,0.00544817452243698
51,0.999629212592357,0.00175814654340713,0.00165521206092472,0.00608115745450435
52,0.999589960576118,0.00194426612366016,0.00183284457478006,0.00662371425341924
53,0.999566342837533,0.00205625332872766,0.00193134987791802,0.00730191025206285
54,0.999542503336144,0.00216929205684744,0.00202447237760582,0.0082513846501639
55,0.99948639734683,0.00243532738907352,0.00227315789700329,0.00924607211484119
56,0.999432619866953,0.00269032172925069,0.00250515672570525,0.0104668249123997
57,0.999380949133711,0.00293532660043123,0.00273284931164709,0.0114389058437889
58,0.999334600707756,0.00315509491835712,0.00292447711447285,0.0128405109076523
59,0.999271287427324,0.0034553047497822,0.003195770408361,0.0143551486379564
60,0.99923669242996,0.00361934234593741,0.0033190366073697,0.0162314909008704
61,0.999205312993249,0.00376813285783461,0.00342507783533789,0.0181756527636487
62,0.999144328222255,0.00405730169721078,0.00368076099922057,0.0198711427602577
63,0.999075692634537,0.00438274808189051,0.0039746620675994,0.0215214196902905
64,0.999003065316353,0.00472712188151123,0.00426264205218305,0.0242342036848649
65,0.998935538542652,0.00504731065092957,0.00453016738365609,0.0267661354131344
66,0.998890298930715,0.00526182135359408,0.00468626868371078,0.0294337063411326
67,0.998848053116627,0.00546213649505285,0.00484667622652559,0.0313100486040466
68,0.998809244625994,0.00564615302920132,0.00497747835036452,0.0337289476658754
69,0.998721426555763,0.00606255615790301,0.00534243242428549,0.0363060924607211
70,0.998649575407392,0.00640324962684076,0.00562718272679904,0.0389962699220075
71,0.998567412288653,0.00679283891770938,0.00595930169967402,0.0417994800497344
72,0.99848070303244,0.00720398443114969,0.00632102609152488,0.0442861987114276
73,0.998385899433895,0.0076535105359981,0.00671666214511177,0.046998982706002
74,0.99833589192168,0.00789062898428657,0.0069007540231073,0.0494630948344071
75,0.998289432614323,0.0081109230637386,0.00705470220178192,0.0524697637617271
76,0.998191967862134,0.00857306744521433,0.00746110386226913,0.0552729738894541
77,0.998094281347143,0.00903626334974235,0.00785835475689107,0.0585057081496553
78,0.997991716050471,0.00952259276142046,0.008288979032904,0.0613315248106703
79,0.997897355977533,0.00997001582016432,0.00866469871372529,0.0647903244037527
80,0.997785143998905,0.0105020864846165,0.00913084949250929,0.0680908782638182
81,0.997714179901748,0.0108385738613451,0.00939514514191223,0.0714592517237482
82,0.997668053238596,0.0110572906562187,0.00953348319058139,0.0750536905165593
83,0.997542313728947,0.0116535042268598,0.0100572299662821,0.0786933423759466
84,0.997422672696397,0.0122208009135632,0.0105626752102523,0.0818582570362835
85,0.997301257561419,0.0127965097846849,0.011084807144918,0.0846840736972985
86,0.997188491175781,0.0133312092567677,0.0115412688774917,0.0885045778229908
87,0.997080825334626,0.0138417236986482,0.0119928860869603,0.0914886402170227
88,0.997022723480079,0.0141172227383448,0.0122012005804815,0.0945857352774952
89,0.996978481800758,0.014327001587274,0.0123379237881156,0.0978636826042726
90,0.996857399309985,0.0149011331738173,0.012848751835536,0.101096416864474
91,0.996751618452661,0.0154027096697534,0.0132896034381042,0.10414829885837
92,0.996638408541416,0.0159395121879408,0.0137729791879287,0.106928902452809
93,0.996542607010255,0.0163937701465245,0.0141653855594455,0.109980784446705
94,0.996433943236484,0.0169090164421402,0.0146283066561594,0.11269356844128
95,0.996370629956052,0.0172092262735653,0.0148710710917617,0.115406352435854
