t,S,I,R,D
48,0.999971420199336,0.000476362517227998,0.00048269011852414,0.000327718424329816
49,0.999970777956624,0.000487067292896043,0.000488270351108234,0.000458805794061742
50,0.999968690667812,0.000521857813817189,0.000521751746612799,0.000524349478927705
51,0.999966442818322,0.000559324528655346,0.000560813374701458,0.000524349478927705
52,0.999961625997985,0.000639610346165683,0.000636146514586728,0.000720980533525595
53,0.99995969926985,0.000671724673169818,0.000669627910091293,0.000720980533525595
54,0.999958093663071,0.00069848661233993,0.000697529073011763,0.000720980533525595
55,0.999955685252903,0.000738629521095099,0.000739380817392469,0.000720980533525595
56,0.999954079646124,0.000765391460265211,0.000761701747728845,0.000852067903257521
57,0.999951992357312,0.000800181981186357,0.000789602910649316,0.00104869895785541
58,0.999950547311211,0.000824267726439458,0.000806343608401598,0.0012453300124533
59,0.999948460022398,0.000859058247360604,0.000839825003906163,0.00131087369731926
60,0.999946693854942,0.000888496380447727,0.000862145934242539,0.00150750475191715
61,0.999945409369518,0.000909905931783817,0.000878886631994822,0.00163859212164908
62,0.999941395352571,0.000976810779709098,0.000948639539295998,0.00163859212164908
63,0.999938505260369,0.0010249822702153,0.000998861632552845,0.00163859212164908
64,0.999936257410879,0.00106244898505346,0.00103234302805741,0.00176967949138101
65,0.999933688440033,0.00110526808772564,0.00106861453985402,0.0019663105459789
66,0.999931440590542,0.00114273480256379,0.00109930581906654,0.00216294160057678
67,0.999929834983763,0.00116949674173391,0.00112162674940292,0.00229402897030871
68,0.999927908255629,0.00120161106873804,0.00114673779603134,0.0024906600249066
69,0.999922609753258,0.00128992546799941,0.00123044128479275,0.00268729107950449
70,0.999918916857667,0.00135147792809067,0.00128903372692574,0.00281837844923642
71,0.999913939476653,0.00143443993951802,0.00136715698310306,0.00301500950383431
72,0.999907998731571,0.00153345911444743,0.00145923082074061,0.00327718424329816
73,0.999900934061744,0.00165121164679593,0.00156246512354635,0.0037359900373599
74,0.999896598923441,0.00172346888255523,0.00162663779826343,0.00399816477682375
75,0.999892906027849,0.00178502134264649,0.00168802035668847,0.00406370846168972
76,0.999885841358022,0.00190277387499498,0.0018024151246624,0.00426033951628761
77,0.999877331642094,0.00204461215259658,0.00194750117184884,0.00432588320115357
78,0.999870748654301,0.00215433610319404,0.00205073547465458,0.00458805794061742
79,0.999862399499051,0.00229349818687862,0.00219024128925694,0.00471914531034935
80,0.999856619314647,0.00238984116789103,0.00226836454543425,0.00524349478927705
81,0.999851160251599,0.00248083176106941,0.00235485815048771,0.00544012584387494
82,0.999847788477363,0.00253703183332664,0.00240787036003661,0.00557121321360687
83,0.999839118200757,0.00268154630484525,0.00254179594205487,0.00596447532280265
84,0.999828039513983,0.00286620368511902,0.00272315350103792,0.0062266500622665
85,0.999818726994665,0.00302142293230567,0.00287940001339256,0.00635773743199843
86,0.999808290550603,0.0031953755369114,0.00304680699091538,0.00668545585632824
87,0.999799138591963,0.00334791859018104,0.00318910292180978,0.00707871796552402
88,0.999790628876035,0.00348975686778264,0.00332023838753599,0.0074719800747198
89,0.999787417662477,0.00354328074612286,0.00336488024820875,0.00773415481418365
90,0.999768150381131,0.00386442401616421,0.00367737327291802,0.00825850429311136
91,0.999752575995376,0.0041240148261143,0.00393406397178634,0.00858622271744118
92,0.999735396002842,0.0044103675752345,0.0042158657172831,0.00897948482663695
93,0.999712596386582,0.0047903871114501,0.0045897413004174,0.00950383430556466
94,0.99968915452761,0.00518111142333373,0.00499151804647218,0.00963492167529659
95,0.9996732590205,0.00544605462111785,0.00524820874534051,0.0100937274693583
96,0.999662019773047,0.00563338819530863,0.00542677618803152,0.0104869895785541
97,0.999632476608316,0.0061258078760387,0.00593457735318408,0.010618076948286
98,0.999604378489686,0.00659414181151566,0.00640331689024799,0.0110768827423478
99,0.999575317006988,0.00707853291049469,0.00689158724135622,0.0114701448515436
100,0.999539351415142,0.00767800034790521,0.00749146224414634,0.0120600380153372
101,0.999511734978545,0.00813830570163114,0.00793509073458182,0.0129121059185947
102,0.999491022651098,0.00848353471692559,0.00824758375929109,0.0140263485613161
103,0.999477696114833,0.00870565881203752,0.00843173143456619,0.0151405912040375
104,0.999445905100611,0.00923554520760574,0.00894511283230285,0.016058202792161
105,0.999408333901986,0.00986177458418637,0.0095645186491373,0.0168447270105525
106,0.999377506251831,0.0103756038162525,0.0100416285350773,0.0182211443927378
107,0.999343627948797,0.0109402807327419,0.0105745407468583,0.019532018090057
108,0.999308946842374,0.0115183386188163,0.0111325640052677,0.0205807170479124
109,0.999288395075604,0.0118608914401938,0.0114255262159327,0.0220882217998296
110,0.999274747417984,0.0120883679231397,0.011620834356376,0.023071377072819
111,0.999218872302079,0.0130196834062596,0.0125276221512913,0.0245788818247362
112,0.999168135127867,0.0138653606840352,0.013339545992277,0.0262174739463853
113,0.999114507861452,0.0147592094523169,0.0142212227405638,0.0273972602739726
114,0.999062165080461,0.0156316486692626,0.0150554675118859,0.0291669397653536
115,0.999001312583542,0.0166459261638098,0.0160403785629785,0.0308710755718687
116,0.998969682129998,0.017173136365461,0.0165174884489186,0.0325752113783837
117,0.998951057091363,0.0174835748598343,0.0167965000781233,0.0336239103362391
118,0.998886993380886,0.0185513762327218,0.0178260529898886,0.035590220882218
119,0.998821163502952,0.0196486157386964,0.0189002477623267,0.0372288130038671
120,0.998757420913831,0.0207110647237499,0.0199353809066762,0.0389329488103821
121,0.998708289346398,0.0215299800623553,0.0207166134684494,0.0406370846168972
122,0.998647757970834,0.0225389051690686,0.0217071047521261,0.0420790456839484
123,0.998614361349834,0.0230955535038069,0.0222009553358184,0.0441108999147932
124,0.998594612386454,0.0234247253555993,0.0224771768487311,0.0456839483515763
125,0.998528621947842,0.0245246410554909,0.0235095198767885,0.0483712394310808
126,0.998460062538384,0.0256673758580547,0.0246144059284391,0.0504030936619257
127,0.998393108735705,0.0267833487214484,0.0256941809334613,0.0523694042079046
128,0.998324549326247,0.0279260835240122,0.0267600053570233,0.0553188700268729
129,0.998255347674078,0.029079523102244,0.0278509408272137,0.0579406174215114
130,0.998219060960875,0.0296843429274885,0.0283699024575344,0.06056236481615
131,0.998196743026649,0.0300563338819531,0.0286628646681994,0.0627908501015927
132,0.998118710537196,0.0313569641256205,0.0299212071159126,0.0650848790719014
133,0.998034737302661,0.0327566135442174,0.0312716234012634,0.067641082781674
134,0.997953333038972,0.0341134438601421,0.0325634472444812,0.0705250049157764
135,0.997870162607827,0.0354997123091539,0.0338943327157876,0.0732122959952809
136,0.997796625817354,0.0367254091231451,0.0350717617910314,0.0755718686504555
137,0.9977657981672,0.0372392383552112,0.0355126001651749,0.0778003539358983
138,0.997738181730603,0.0376995437089371,0.0358808955157251,0.0804221013305368
139,0.997645859340818,0.0392383552112186,0.0374042990111828,0.0823228681916497
140,0.99755530311849,0.0407477285804129,0.0388719001807995,0.0848135282165563
141,0.997454631573454,0.042425702166379,0.0405124885605232,0.0873697319263289
142,0.997364878154516,0.0439216945659883,0.041982879846432,0.0894671298420397
143,0.9972931075315,0.0451179532468923,0.0431296176424633,0.0918267024972144
144,0.997255215211519,0.0457495350113069,0.0436653199705364,0.0947106246313168
145,0.997230167745768,0.0461670212623607,0.0440029240418741,0.0970046536016255
146,0.997149566285469,0.0475104706087003,0.045303118233968,0.0993642262568002
147,0.997044077920097,0.0492687300121767,0.0470106694047008,0.102313692075769
148,0.996953200576413,0.050783455769205,0.0484866409231937,0.104738808415809
149,0.996866979492387,0.0522205719026401,0.0499179705810138,0.106311856852592
150,0.996784611864631,0.0535934593820668,0.0512014240753555,0.109785672150488
151,0.996747201226684,0.0542170125647304,0.0517371264034285,0.112472963229993
152,0.996717176379919,0.0547174608272115,0.0521444833820674,0.115160254309497
153,0.996619555487763,0.0563445867287544,0.0537153188544899,0.118109720128466
154,0.99651647553256,0.0580627032234756,0.0553977589785942,0.120665923838238
155,0.996437961361073,0.0593713620488941,0.0566644717751836,0.122959952808547
156,0.996349974109591,0.0608379163154162,0.0580790607352514,0.125647243888051
157,0.996279487971998,0.0620127654449841,0.0592174281824066,0.127679098118896
158,0.996252032096079,0.0624703946047931,0.0595773531840807,0.130431932883267
159,0.996227787433719,0.0628744998862618,0.0599037967902502,0.132660418168709
160,0.996141245228337,0.0643169684075308,0.0613211758666101,0.134692272399554
161,0.996068350680577,0.0655319604458539,0.0624818642441017,0.137182932424461
162,0.996006855940946,0.0665569427160692,0.0634305037833977,0.140001310873697
163,0.995948411854195,0.0675310773018613,0.0643484520434812,0.142295339844006
164,0.995878728519992,0.0686925454618442,0.0654700787928841,0.144392737759717
165,0.995848864233905,0.0691903175304083,0.0658746456552309,0.147080028839221
166,0.995830720877304,0.0694927274430305,0.0660950648423026,0.149308514124664
167,0.995760234739711,0.0706675765725985,0.0672250619405817,0.151536999410107
168,0.995688624677373,0.0718611590595855,0.0683969107832414,0.153241135216622
169,0.995618299100459,0.0730333319952364,0.069557599160733,0.154683096283673
170,0.995545404552698,0.0742483240335595,0.0707629293988973,0.156125057350724
171,0.995481661963577,0.0753107730186129,0.0717729514966184,0.158419086321033
172,0.995454366648336,0.0757657259845048,0.0721803084752572,0.159992134757816
173,0.995436704973768,0.0760601073153761,0.0724230485926653,0.161499639509733
174,0.995377618644306,0.0770449466768362,0.0733549474342091,0.163728124795176
175,0.995319174557555,0.0780190812626283,0.0742896363920448,0.165628891656289
176,0.995248046177251,0.0792046351678643,0.0754531148858284,0.167333027462804
177,0.995179807889149,0.080342017582594,0.0765580009374791,0.169233794323917
178,0.995102738763763,0.0816265906627594,0.0778358741992366,0.170675755390968
179,0.995076888494623,0.0820574578833982,0.0781762683868664,0.173231959100741
180,0.995052483271584,0.0824642393587839,0.0785306131559563,0.17487055122239
181,0.994969473401117,0.0838478316138787,0.0799284614182719,0.175919250180245
182,0.99490155623437,0.0849798616407745,0.0810389277025066,0.177557842301894
183,0.994825771594408,0.0862430251696038,0.082302850382804,0.178803172314348
184,0.994754964335459,0.0874232266870057,0.0834607486440035,0.180507308120863
185,0.994685120440579,0.0885873710409056,0.0846130666726189,0.181949269187914
186,0.994651884380256,0.089141343181727,0.0851292381866476,0.183391230254965
187,0.994626676353828,0.0895615056266977,0.085508694002366,0.18476764763715
