t,S,I,R,D
96,0.998618929881528,0.0316406357836674,0.0266317211018241,0.105432961760387
97,0.998565853731311,0.0328566226588966,0.0277042336168098,0.108762641407979
98,0.998515933460295,0.0340003076118149,0.0287191898319075,0.11180278369491
99,0.998458840736548,0.0353083151154399,0.0298731234540518,0.115380638223068
100,0.998409838539482,0.0364309667818677,0.0308740415472256,0.118296693069716
101,0.998359631370357,0.0375812246368143,0.0319212854427483,0.120964573035799
102,0.998332720327706,0.0381977628470657,0.0323620824711587,0.124170165243108
103,0.998304948590728,0.0388340197634018,0.0328253404946473,0.12735507621037
104,0.998240396516139,0.0403129227197617,0.0341982688188043,0.130395218497301
105,0.998184967801425,0.0415828073916227,0.0353255300092932,0.133766260624987
106,0.998129424327468,0.042855321224295,0.036473848382668,0.13686844663206
107,0.998084840361285,0.0438767501994876,0.0373442119419496,0.140115401319463
108,0.998039166182287,0.0449231562023875,0.03826090130358,0.143072818646206
109,0.998014894602242,0.0454792237139789,0.0386666030271806,0.145844104812525
110,0.997989590189003,0.0460589536728719,0.0390835352483203,0.148822203379315
111,0.997935481205592,0.0472986029954029,0.0401827201949614,0.152131201786859
112,0.997885101897601,0.0484528045915664,0.0411962725978668,0.155357475234215
113,0.997838567024276,0.0495189293005512,0.0421368267667678,0.158273530080864
114,0.997793294502631,0.0505561332406116,0.0430731694990917,0.160796641366616
115,0.997748079360607,0.0515920226002663,0.043992666485107,0.163547246292888
116,0.997723176604722,0.0521625504963198,0.0444489054476336,0.165801501458027
117,0.997704872505349,0.0525819016457232,0.0447282640739191,0.168283250263686
118,0.997659313085595,0.0536256784878119,0.0456744334915898,0.170764999069344
119,0.997621557294413,0.0544906723947317,0.0464549530705584,0.172874485554154
120,0.997580129207432,0.0554397994476133,0.0473239128176476,0.175004653279011
121,0.997544266943772,0.0562614122011466,0.0480693370918065,0.176948689843443
122,0.997502322440195,0.0572223704776791,0.0489621616461663,0.178913407647923
123,0.997482985507629,0.0576653840743842,0.049285038450416,0.181126300332968
124,0.997464566649013,0.0580873643845989,0.049577031386433,0.183463280458296
125,0.997414646377997,0.0592310493375172,0.050575141855222,0.186751597625794
126,0.997376833207194,0.0600973578248427,0.0513430271244592,0.189067896511075
127,0.997327658871263,0.0612239532324875,0.0523930786443666,0.191322151676214
128,0.997287894793316,0.0621349574536052,0.0531890401574516,0.193927987922156
129,0.99724692574331,0.0630735678632416,0.054080460899619,0.195561805885881
130,0.997225523144357,0.0635639063545502,0.0544665092525262,0.197588567410502
131,0.997208710915153,0.0639490784134066,0.054736041193465,0.199677372655264
132,0.997165905717248,0.0649297553960239,0.0556035971283618,0.2023245713813
133,0.997128838481529,0.0657789743380759,0.0563799052707533,0.204247926705685
134,0.997090164616397,0.0666650015314862,0.0571842896569925,0.206336731950448
135,0.997060556731519,0.0673433250208032,0.057769679341219,0.208384174715116
