t,S,I,R,D
49,0.99995935939715,0.0005296770131792,0.000535088036443834,0.000385455479892072
50,0.999957933411085,0.000548262171536365,0.000554370488207576,0.000385455479892072
51,0.999955794431988,0.000576139909072113,0.000580883859382721,0.000449698059874085
52,0.999954190197665,0.000597048212223923,0.00060257661761693,0.000449698059874085
53,0.999953120708116,0.000610987080991797,0.000617038456439736,0.000449698059874085
54,0.9999527642116,0.000615633370581088,0.000619448762910204,0.000513940639856097
55,0.999950446984245,0.000645834252911481,0.000648372440555817,0.000578183219838109
56,0.999947238515598,0.000687650859215102,0.000691757957024236,0.000578183219838109
57,0.99994420829521,0.000727144320724078,0.000727912554081251,0.000706668379802133
58,0.999943138805662,0.000741083189491951,0.00073996408643359,0.000770910959784145
59,0.999941891067855,0.000757345203054471,0.000754425925256396,0.000835153539766157
60,0.999940821578306,0.000771284071822345,0.000766477457608735,0.000899396119748169
61,0.999939395592241,0.000789869230179509,0.000783349602902009,0.000963638699730181
62,0.999935830627079,0.000836332126072422,0.000826735119370428,0.00109212385969421
63,0.999930839675852,0.000901380180322499,0.000889403087602589,0.00122060901965823
64,0.999926918214173,0.000952489365804703,0.000937609217011943,0.00134909417962225
65,0.999921749014688,0.00101986056484943,0.00100509779818504,0.00141333675960427
66,0.999916936311719,0.00108258547430486,0.00106535545994673,0.00154182191956829
67,0.999913014850041,0.00113369465978706,0.00111115128288562,0.00173454965951433
68,0.999911410615718,0.00115460296293887,0.00112802342817889,0.00186303481947835
69,0.999904280685393,0.0012475287547247,0.00121961507405667,0.00199151997944237
70,0.999893407541648,0.00138924058719808,0.00135941284934379,0.00218424771938841
71,0.999888594838679,0.00145196549665351,0.00141967051110549,0.00231273287935243
72,0.999884138632226,0.00151004411651965,0.00147510755992624,0.00244121803931646
73,0.999878434687967,0.00158438474994831,0.00154982706051074,0.00250546061929847
74,0.999873443736739,0.00164943280419839,0.00161008472227244,0.00269818835924451
75,0.999869878771577,0.0016958957000913,0.00165105993227039,0.00289091609919054
76,0.999862214096478,0.00179579092626106,0.0017474721910891,0.00308364383913658
77,0.999855797159186,0.0018794241388683,0.00182460199814406,0.00334061415906463
78,0.999843676277634,0.00203739798490421,0.001978861612254,0.00359758447899268
79,0.999836902843826,0.00212567748710074,0.00206322233872037,0.00379031221893871
80,0.99982335597621,0.00230223649149381,0.00223676440459404,0.00404728253886676
81,0.999818008528466,0.00237193083533317,0.00230184267929667,0.0042400102788128
82,0.999815869549369,0.00239980857286892,0.00232353543753088,0.00443273801875883
83,0.999807313632979,0.00251131952301191,0.00242958892223146,0.00468970833868688
84,0.999800361950913,0.00260192217000309,0.00251153934222736,0.00501092123859694
85,0.999789488807168,0.00274363400247647,0.00264410619810309,0.00539637671848901
86,0.999783071869876,0.00282726721508371,0.00272364631162852,0.00558910445843505
87,0.999773802960454,0.00294807074440529,0.00284175132868144,0.00578183219838109
88,0.999767386023162,0.00303170395701253,0.00292370174867734,0.00591031735834511
89,0.999762395071935,0.00309675201126261,0.0029863697169095,0.00603880251830914
90,0.999747422218253,0.00329189617401284,0.00316714270219458,0.00661698573814724
91,0.99972603242728,0.00357067354937031,0.00344432794629837,0.0069381986380573
92,0.999713198552695,0.0037379399745848,0.00360822878629018,0.00719516895798535
93,0.999701255919402,0.00389359067582605,0.00376007809392964,0.0074521392779134
94,0.999688600293076,0.00405853395624589,0.00391674801451005,0.00783759475780547
95,0.999680579121461,0.00416307547200494,0.00401798088626969,0.00803032249775151
96,0.999677014156298,0.00420953836789786,0.00406136640273811,0.00815880765771553
97,0.999661863054359,0.00440700567544273,0.00425660122684599,0.00841577797764358
98,0.99964475122158,0.00463002757572871,0.00448075972859949,0.00860850571758962
99,0.999631026105705,0.00480890972491642,0.00464707087506176,0.00912244635744571
100,0.999607675583892,0.005113241693015,0.00493871795798836,0.00976487215726584
101,0.999580938345175,0.00546171341221184,0.00529303300914711,0.00995759989721187
102,0.999566856732784,0.00564524185098885,0.00546416476855032,0.010471540537068
103,0.999558835561169,0.0057497833667479,0.00556539764030997,0.010664268277014
104,0.999522116419998,0.0062283511944449,0.00604986924087398,0.0109854811769241
105,0.999494309691732,0.00659076178240961,0.00640900490497367,0.0114351792367981
106,0.99945384733714,0.00711811565079417,0.00693927232847657,0.0118848772966722
107,0.999417128195969,0.00759668347849116,0.00742374392904058,0.0122060901965823
108,0.999372387883183,0.00817979282194721,0.00800221748195283,0.0129127585763844
109,0.999337807721108,0.00863048291210846,0.00844330356604842,0.0136194269561866
110,0.999319448150523,0.00886976682595696,0.00867710329368379,0.0140048824360786
111,0.999267399659154,0.00954812510599348,0.00934957879894429,0.0148400359758448
112,0.999228363290627,0.0100568938160209,0.0098485122383311,0.0156109469356289
113,0.999195743859392,0.010482029313441,0.0102582643383106,0.0164461004753951
114,0.999154212015252,0.0110233220505934,0.010790942068284,0.0172170114351792
115,0.999117136377564,0.0115065361678797,0.0112681827494366,0.0178594372349994
116,0.999085942932394,0.0119130865069427,0.0116731142364752,0.0183091352948734
117,0.999067226865292,0.0121570167103805,0.0118900418188173,0.0192727739946036
118,0.9990135741396,0.0128562832935688,0.012584210082312,0.0201079275343698
119,0.998957604186552,0.0135857507590876,0.0133145329428637,0.0208145959141719
120,0.998902168978279,0.0143082487902223,0.0140303939645926,0.0217139920339201
121,0.998846199025232,0.0150377162557411,0.0147631271316148,0.0223564178337402
122,0.998787911844829,0.0157973846035902,0.0154982706051074,0.0237697545933445
123,0.99874994496585,0.0162922144448497,0.015980331899201,0.0246049081331106
124,0.998718395024164,0.016703411073502,0.0163659809344758,0.0256970319928048
125,0.998646917472661,0.0176349921361549,0.0172939489256059,0.026724913272517
126,0.998579004886319,0.0185201103029148,0.0181544283355629,0.0282667351920853
127,0.998501823390556,0.0195260319989964,0.0191474746013956,0.0296158293717076
128,0.998438901755442,0.0203461021115063,0.0199235932848862,0.0316073493511499
129,0.99837580187207,0.0211684953688109,0.0207165841136701,0.0332134138507002
130,0.998332844041865,0.0217283732643204,0.021246851537173,0.0345625080303225
131,0.998297016141984,0.0221953253680442,0.0216590139436229,0.0364897854297829
132,0.998201118579119,0.0234451772675636,0.022885859937091,0.0383528202492612
133,0.99811128145703,0.0246160422440649,0.0240331658170336,0.0401516124887576
134,0.99803000025133,0.0256753962704233,0.0250720079058052,0.0417576769883079
135,0.997941945611822,0.0268230297989783,0.0261903901081022,0.0436849543877682
136,0.997860664406122,0.0278823838253367,0.0272436940356966,0.0449055634074264
137,0.997803090218752,0.0286327595940072,0.0279595550574256,0.0465758704869588
138,0.997759597643772,0.0291996069239007,0.0284729503356352,0.0485673904664011
139,0.997654965916259,0.0305632929183577,0.0297889776685106,0.0512013362456636
140,0.997549977692231,0.031931625202404,0.0311315183725611,0.053257098805088
141,0.997446237206008,0.0332836954728877,0.0324186220277908,0.0563407426442246
142,0.997345883436691,0.0345916259922732,0.0336888535377273,0.058653475523577
143,0.99725337259073,0.0357973381406943,0.0348602624823746,0.0607734806629834
144,0.997208988774459,0.0363758011945611,0.0353543753088205,0.063600154182192
145,0.997174408612385,0.0368264912847223,0.0357183315858611,0.0663625851214185
146,0.997072450608744,0.0381553301072596,0.0370198970799137,0.0684183476808429
147,0.996967818881232,0.0395190161017166,0.0383383347192596,0.0709880508801233
148,0.996875664531787,0.0407200819605484,0.0394687684539089,0.0740716947192599
149,0.996766576597822,0.0421418465748715,0.0408354122226641,0.0769626108184505
150,0.996669074800634,0.0434126067775426,0.0420477963773094,0.079789284337659
151,0.996620234777911,0.0440491484512755,0.0426190390108102,0.0821662597969934
152,0.996596171263065,0.0443627729985527,0.0428359665931523,0.085057175896184
153,0.996555887156732,0.0448878037221426,0.0432481289996023,0.0885905177951947
154,0.996491004790778,0.0457334284273936,0.043983272473095,0.0923808300141334
155,0.996438778051151,0.0464141098522248,0.0445930800101233,0.0949505332134138
156,0.996375499919521,0.047238826254324,0.0453523265483206,0.0975202364126943
157,0.996314717263504,0.0480310186292981,0.0460778287959314,0.100089939611975
158,0.996292257982982,0.0483237348734235,0.0462851151523916,0.102659642811255
159,0.996273007171106,0.0485746345112452,0.0464200923147378,0.10600025697032
160,0.996206520570829,0.049441167519648,0.0472203140629331,0.108634202749582
161,0.996133260536745,0.0503959800302473,0.0481000759246538,0.111589361428755
162,0.996065347950403,0.0512810981970073,0.0488858358340263,0.115122703327766
163,0.996002069818773,0.0521058145991065,0.0496137483881075,0.118527560066812
164,0.995929522777721,0.0530513345305273,0.0504621762657122,0.122060901965823
165,0.995891912395259,0.0535415180821975,0.0508936211239259,0.124116664525247
166,0.995862679680928,0.0539225138285194,0.0511635754486183,0.127457278684312
167,0.995794232349813,0.0548146014296633,0.0519830796485773,0.13028395220352
168,0.995728102246053,0.0556764881484768,0.0527616086385384,0.133367596042657
169,0.995661793894035,0.056540698012085,0.0535594200802632,0.13600154182192
